ticker,company,insider,role,elective_shares,est_value_usd,value_basis,txn_date,group_type,pct_90d,open_market_buy,election_footnote,edgar_link,accession
ADSK,"Autodesk, Inc.",Smith Stacy J,Director,1087.0,213335,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1415529/000076939726000052/0000769397-26-000052-index.htm,0000769397-26-000052
ADSK,"Autodesk, Inc.",CAHILL JOHN T,Director,621.0,121877,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1197000/000119700026000006/0001197000-26-000006-index.htm,0001197000-26-000006
ADSK,"Autodesk, Inc.",BLASING KAREN,Director,590.0,115793,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1256358/000125635826000002/0001256358-26-000002-index.htm,0001256358-26-000002
ADSK,"Autodesk, Inc.",Irving Blake,Director,559.0,109709,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1492275/000149227526000009/0001492275-26-000009-index.htm,0001492275-26-000009
ADSK,"Autodesk, Inc.",Epstein Jeff,Director,466.0,91457,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1228718/000122871826000004/0001228718-26-000004-index.htm,0001228718-26-000004
ADSK,"Autodesk, Inc.",rahim rami,Director,466.0,91457,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1560849/000156084926000005/0001560849-26-000005-index.htm,0001560849-26-000005
ADSK,"Autodesk, Inc.",Howard Ayanna,Director,466.0,91457,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1788899/000178889926000004/0001788899-26-000004-index.htm,0001788899-26-000004
ADSK,"Autodesk, Inc.",Simons Anna C,Director,466.0,91457,current price x elective shares,2026-06-17,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/2058781/000205878126000002/0002058781-26-000002-index.htm,0002058781-26-000002
ADSK,"Autodesk, Inc.",Krishnan Ram R.,Director,0.0,0,current price x elective shares,2026-06-22,BOARD SWEEP (date spread),-14.6,No,"The Reporting Person is entitled to receive one share of Common Stock for each Restricted Stock Unit. These are Restricted Stock Units granted pursuant to the 2026 Director Compensation Policy and under the 2022 Equity Incentive Plan in lieu of cash compensation for services as a director, and vest on the date of the next annual meeting.",https://www.sec.gov/Archives/edgar/data/1847946/000184794626000008/0001847946-26-000008-index.htm,0001847946-26-000008
CUBI,"Customers Bancorp, Inc.",Zuckerman Steven J,Director,958.0,74925,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1528088/000152808826000002/0001528088-26-000002-index.htm,0001528088-26-000002
CUBI,"Customers Bancorp, Inc.",Banks Bernard Bennett,Director,881.0,68903,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1910332/000191033226000006/0001910332-26-000006-index.htm,0001910332-26-000006
CUBI,"Customers Bancorp, Inc.",BUFORD ROBERT J,Director,849.0,66400,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1240076/000124007626000002/0001240076-26-000002-index.htm,0001240076-26-000002
CUBI,"Customers Bancorp, Inc.",Way T Lawrence,Director,849.0,66400,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1527821/000152782126000002/0001527821-26-000002-index.htm,0001527821-26-000002
CUBI,"Customers Bancorp, Inc.",Krasne Robert Morris,Director,849.0,66400,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/2096423/000209642326000002/0002096423-26-000002-index.htm,0002096423-26-000002
CUBI,"Customers Bancorp, Inc.",Sirmans Dalton Talley,Director,737.0,57641,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/2096815/000209681526000002/0002096815-26-000002-index.htm,0002096815-26-000002
CUBI,"Customers Bancorp, Inc.",Allon Andrea R.,Director,625.0,48881,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1678725/000167872526000002/0001678725-26-000002-index.htm,0001678725-26-000002
CUBI,"Customers Bancorp, Inc.",Gill Mike,Director,625.0,48881,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1839505/000183950526000002/0001839505-26-000002-index.htm,0001839505-26-000002
CUBI,"Customers Bancorp, Inc.",Looney Susan Dianne,Director,625.0,48881,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/2096414/000209641426000002/0002096414-26-000002-index.htm,0002096414-26-000002
CUBI,"Customers Bancorp, Inc.",Mackay Robert Neil,Director,522.0,40826,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1911373/000191137326000002/0001911373-26-000002-index.htm,0001911373-26-000002
CUBI,"Customers Bancorp, Inc.",ROTHERMEL DANIEL K,Director,385.0,30111,grant price (filed),2026-06-15,BOARD SWEEP,19.7,No,This stock was issued to the reporting person in lieu of cash for director compensation for Q2 2026.,https://www.sec.gov/Archives/edgar/data/1222650/000122265026000002/0001222650-26-000002-index.htm,0001222650-26-000002
PSTL,"Postal Realty Trust, Inc.",Donahoe Patrick R,Director,9381.0,233399,current price x elective shares,2026-06-02,BOARD SWEEP,36.3,No,"Reflects LTIP Unit grants in lieu of cash compensation pursuant to the Issuer's Alignment of Interest Program that vest on the third anniversary of June 2, 2026, subject to certain conditions.",https://www.sec.gov/Archives/edgar/data/1777324/000162828026040778/0001628280-26-040778-index.htm,0001628280-26-040778
PSTL,"Postal Realty Trust, Inc.",LEFKOWITZ BARRY,Director,4776.0,118827,current price x elective shares,2026-06-02,BOARD SWEEP,36.3,No,"Reflects LTIP Unit grants in lieu of cash compensation pursuant to the Issuer's Alignment of Interest Program that vest on the third anniversary of June 2, 2026, subject to certain conditions.",https://www.sec.gov/Archives/edgar/data/1032809/000162828026040777/0001628280-26-040777-index.htm,0001628280-26-040777
PSTL,"Postal Realty Trust, Inc.",FEINGOLD ANTON,Director,4093.0,101834,current price x elective shares,2026-06-02,BOARD SWEEP,36.3,No,"Reflects LTIP Unit grants in lieu of cash compensation pursuant to the Issuer's Alignment of Interest Program that vest on the third anniversary of June 2, 2026, subject to certain conditions.",https://www.sec.gov/Archives/edgar/data/1689690/000162828026040779/0001628280-26-040779-index.htm,0001628280-26-040779
PSTL,"Postal Realty Trust, Inc.",Gural-Senders Jane,Director,3070.0,76382,current price x elective shares,2026-06-02,BOARD SWEEP,36.3,No,"Reflects LTIP Unit grants in lieu of cash compensation pursuant to the Issuer's Alignment of Interest Program that vest on the third anniversary of June 2, 2026, subject to certain conditions.",https://www.sec.gov/Archives/edgar/data/1777099/000162828026040780/0001628280-26-040780-index.htm,0001628280-26-040780
