ticker,company,insider,role,elective_shares,est_value_usd,value_basis,txn_date,group_type,pct_90d,open_market_buy,election_footnote,edgar_link,accession
IHRT,"iHeartMedia, Inc.",MILLARD ROBERT B,Director,35629.0,149998,grant price (filed),2026-06-04,single/small,54.3,No,"Represents deferred stock units (""DSUs"") in lieu of cash compensation. Each DSU represents a contingent right to receive one share of Class A Common Stock. The DSUs vest in equal quarterly installments, which began on March 31, 2026. Settlement of the DSUs has been deferred until December 31, 2031.",https://www.sec.gov/Archives/edgar/data/1188791/000119312526260158/0001193125-26-260158-index.htm,0001193125-26-260158
IHRT,"iHeartMedia, Inc.",Englebardt Samuel Eli,Director,35629.0,149998,grant price (filed),2026-06-04,single/small,54.3,No,"Represents deferred stock units (""DSUs"") in lieu of cash compensation. Each DSU represents a contingent right to receive one share of Class A Common Stock. The DSUs vest in equal quarterly installments, which began on March 31, 2026. Settlement of the DSUs has been deferred until within 45 days of the earliest to occur of (i) the Reporting Person's separation from service, (ii) a change in control, (iii) the Reporting Person's death, or (iv) the Reporting Person's disability.",https://www.sec.gov/Archives/edgar/data/1917029/000119312526260160/0001193125-26-260160-index.htm,0001193125-26-260160
SLVM,Sylvamo Corp,PETRATIS DAVID D,Director,6331.0,245010,grant price (filed),2026-05-15,single/small,-2.0,No,"The reported securities represent 3,876 time-based restricted stock units (""RSUs"") and 6,331 RSUs that the reporting person elected to receive in lieu of a cash retainer. The RSUs will vest one-for-one in common stock on the earlier of May 13, 2027, or the next annual shareowners meeting. The reporting person has elected to defer the settlement of vested RSUs until the first to occur of May 13, 2032, or the termination of his service as a director. The RSUs were granted to the reporting person on May 15, 2026, for service as a director for the 2026-2027 performance year.",https://www.sec.gov/Archives/edgar/data/1299140/000129914026000010/0001299140-26-000010-index.htm,0001299140-26-000010
ARDX,"ARDELYX, INC.",MOTT DAVID M,Director,20282.0,112565,current price x elective shares,2026-06-16,single/small,1.3,No,The shares were issued pursuant to the Issuer's Non-Employee Director Compensation Program. The Reporting Person elected to receive stock in lieu of cash as permitted under the program.,https://www.sec.gov/Archives/edgar/data/1219871/000121987126000003/0001219871-26-000003-index.htm,0001219871-26-000003
ARDX,"ARDELYX, INC.",Bertrand William C JR,Director,12345.0,68515,current price x elective shares,2026-06-16,single/small,1.3,No,The shares were issued pursuant to the Issuer's Non-Employee Director Compensation Program. The Reporting Person elected to receive stock in lieu of cash as permitted under the program.,https://www.sec.gov/Archives/edgar/data/1291937/000129193726000003/0001291937-26-000003-index.htm,0001291937-26-000003
CW,CURTISS WRIGHT CORP,Wallace Peter C,Director,221.0,159118,grant price (filed),2026-06-01,CLUSTER (diff days),12.6,No,"Shares were acquired through the Corporation's 2024 Omnibus Incentive Plan whereby non-employee directors may elect to defer their compensation, including their annual restricted stock award, and/or receive their annual retainer and meeting fees in the form of stock at a later date.",https://www.sec.gov/Archives/edgar/data/1295366/000162828026039795/0001628280-26-039795-index.htm,0001628280-26-039795
CW,CURTISS WRIGHT CORP,MINOR GLENDA J,Director,20.0,14952,grant price (filed),2026-05-29,CLUSTER (diff days),12.6,No,"Shares were acquired through the Corporation's 2024 Omnibus Incentive Plan whereby non-employee directors may elect to receive their annual retainer, committee chair, and meeting fees in the form of stock.",https://www.sec.gov/Archives/edgar/data/1254782/000162828026039799/0001628280-26-039799-index.htm,0001628280-26-039799
AAP,ADVANCE AUTO PARTS INC,LEE EUGENE I JR,Director,2601.9,150000,grant price (filed),2026-06-02,single/small,20.6,No,"These shares of issuer common stock were acquired by the reporting person in lieu of cash compensation under the Advance Auto Parts, Inc. Deferred Stock Unit Plan for Non-Employee Directors and Selected Executives.",https://www.sec.gov/Archives/edgar/data/1242843/000119312526257364/0001193125-26-257364-index.htm,0001193125-26-257364
AAP,ADVANCE AUTO PARTS INC,Seboldt Thomas W,Director,86.7,5000,grant price (filed),2026-06-02,single/small,20.6,No,"These shares of issuer common stock were acquired by the reporting person in lieu of cash compensation under the Advance Auto Parts, Inc. Deferred Stock Unit Plan for Non-Employee Directors and Selected Executives.",https://www.sec.gov/Archives/edgar/data/2016319/000119312526257378/0001193125-26-257378-index.htm,0001193125-26-257378
YOU,"Clear Secure, Inc.",BOYD JEFFERY H,Director,1442.0,82526,grant price (filed),2026-06-10,single/small,16.3,No,"The reporting person elected to receive DSUs in lieu of cash retainer payments for service on the Issuer's board of directors. The price of the DSUs reported herein represents the 20-trading day average closing market price of the Issuer's Class A common stock for the period ending June 10, 2026, which price was used to calculate the number of DSUs issued to the Reporting Person. The DSUs will vest in four quarterly installments starting September 30, 2026, generally subject to the reporting person's continued service; the DSUs generally will not be settled into shares of Class A Common Stock until after the reporting person's departure from the board of directors.",https://www.sec.gov/Archives/edgar/data/1214606/000121460626000009/0001214606-26-000009-index.htm,0001214606-26-000009
YOU,"Clear Secure, Inc.",Hollister Kathryn A,Director,1136.0,65013,grant price (filed),2026-06-10,single/small,16.3,No,"The reporting person elected to receive RSUs in lieu of cash retainer payments for service on the Issuer's board of directors.  The price of the RSUs reported herein represents the 20-trading day average closing market price of the Issuer's Class A common stock for the period ending June 10, 2026, which price was used to calculate the number of RSUs issued to the Reporting Person. The RSUs will vest in four quarterly installments starting September 30, 2026, generally subject to the reporting person's continued service.",https://www.sec.gov/Archives/edgar/data/1850671/000185067126000014/0001850671-26-000014-index.htm,0001850671-26-000014
DLX,DELUXE CORP,Cummins Hugh S. III,Director,1205.0,27522,grant price (filed),2026-06-15,single/small,-11.3,No,Consists of restricted stock units granded in lieu of director fees pursuant to an election by the director pursuant to the Company's Non-Employee Director Stock and Deferral Plan. The restricted stock units will convert to shares of Common Stock on deferred dates specified by the director.,https://www.sec.gov/Archives/edgar/data/1701995/000002799626000104/0000027996-26-000104-index.htm,0000027996-26-000104
DLX,DELUXE CORP,Brown Angela L,Director,1205.0,27522,grant price (filed),2026-06-15,single/small,-11.3,No,Consists of restricted stock units granded in lieu of director fees pursuant to an election by the director pursuant to the Company's Non-Employee Director Stock and Deferral Plan. The restricted stock units will convert to shares of Common Stock on deferred dates specified by the director.,https://www.sec.gov/Archives/edgar/data/2031039/000002799626000106/0000027996-26-000106-index.htm,0000027996-26-000106
CAI,"Caris Life Sciences, Inc.",POSTE GEORGE,Director,1600.0,24992,grant price (filed),2026-05-29,single/small,9.1,No,"Shares issued in lieu of cash compensation for 2026 board retainer fees. Number of shares determined by dividing the cash retainer earned by the ten trading day average of the daily volume weighted average price per share through and including May 29, 2026.",https://www.sec.gov/Archives/edgar/data/1180770/000118077026000003/0001180770-26-000003-index.htm,0001180770-26-000003
CAI,"Caris Life Sciences, Inc.",Knowles Jonathan Kenneth Charles,Director,1600.0,24992,grant price (filed),2026-05-29,single/small,9.1,No,"Shares issued in lieu of cash compensation for 2026 board retainer fees. Number of shares determined by dividing the cash retainer earned by the ten trading day average of the daily volume weighted average price per share through and including May 29, 2026.",https://www.sec.gov/Archives/edgar/data/1662103/000166210326000002/0001662103-26-000002-index.htm,0001662103-26-000002
ECG,"Everus Construction Group, Inc.",Rosenthal Dale,Director,169.0,26148,grant price (filed),2026-05-29,single/small,32.4,No,"Pursuant to the issuer's director compensation policy, the reporting person elected to receive common stock in lieu of the cash compensation retainer for service on the issuer's board of directors.",https://www.sec.gov/Archives/edgar/data/1620924/000122520826005685/0001225208-26-005685-index.htm,0001225208-26-005685
ECG,"Everus Construction Group, Inc.",Ryan Edward A,Director,100.0,15472,grant price (filed),2026-05-29,single/small,32.4,No,"Pursuant to the issuer's director compensation policy, the reporting person elected to receive common stock in lieu of the cash compensation retainer for service on the issuer's board of directors.",https://www.sec.gov/Archives/edgar/data/1379264/000122520826005684/0001225208-26-005684-index.htm,0001225208-26-005684
HSTM,HEALTHSTREAM INC,GORDON FRANK,Director,1482.0,36502,grant price (filed),2026-05-28,single/small,26.7,No,Shares represent stock the reporting person elected to receive in lieu of cash payable for service on the Company's Board of Directors.,https://www.sec.gov/Archives/edgar/data/1059231/000143774926019032/0001437749-26-019032-index.htm,0001437749-26-019032
