ticker,current,close90,pct90,asof
AAP,62.18,51.57,20.6,1782480600
ADSK,196.26,229.84,-14.6,1782480600
AGEN,3.03,3.39,-10.6,1782480600
AMBP,4.61,3.94,17.0,1782480600
ARDX,5.55,5.48,1.3,1782480600
BDTX,1.71,2.03,-15.8,1782480600
BLDR,89.14,80.43,10.8,1782480600
CAC,54.33,46.20,17.6,1782480600
CAI,18.50,16.95,9.1,1782480600
CROX,127.76,79.54,60.6,1782480600
CSCO,113.77,79.92,42.4,1782480600
CUBI,81.01,67.66,19.7,1782480600
DLX,23.93,26.99,-11.3,1782480600
ECG,155.33,117.31,32.4,1782480600
FTAI,260.08,239.06,8.8,1782480600
GD,346.71,346.76,-0.0,1782480600
HSTM,26.73,21.10,26.7,1782480600
IHRT,4.32,2.80,54.3,1782480600
IMNN,1.79,2.72,-34.2,1782480600
INKT,11.64,11.02,5.6,1782480600
JXN,106.74,101.40,5.3,1782480600
LLY,1208.12,878.24,37.6,1782480600
MS,212.03,158.39,33.9,1782480600
NEPH,3.61,2.89,24.9,1782480600
PK,14.78,10.43,41.7,1782480600
PPTA,21.34,26.46,-19.3,1782480600
PSTL,24.88,18.25,36.3,1782480600
RSVR,10.05,9.28,8.3,1782480600
RYN,21.91,20.31,7.9,1782480600
SHEN,15.45,14.69,5.2,1782480600
SLVM,39.34,40.13,-2.0,1782480600
TMC,4.25,4.27,-0.5,1782480600
XELB,1.79,1.55,15.5,1782480600
YOU,55.17,47.44,16.3,1782480600
CW,747.27,663.56,12.6,1782480600
